LinkID,ExerciseID,ProductID,VideoTitle,VideoURL,Sport,Body Part,Level
V477,,P05,SoleSteps® - Workout - Mobility - 30 min,https://www.youtube.com/watch?v=8LAW2n3q_hM,,,
V476,,P03,ProPulse® Speed Trainers - Workout - 40min - Strength/Power - Squats & Presses,https://www.youtube.com/watch?v=3cCeip37xZE,,,
V475,,P03,ProPulse® Speed Trainers - Workout - 30min - Conditioning/Agility,https://www.youtube.com/watch?v=6Au0SPhp5Ok,,,
V474,,P04,RMT® Rope - Workout - 45 min - Fluidity/Conditioning,https://www.youtube.com/watch?v=s_Vbmt0F2io&t=102s,,,
V473,,P01,RMT® Club - Softball - Hitting - Correcting Drift,https://www.youtube.com/watch?v=DBgLpABjOQ8,,,
V472,,P01,RMT® Club - Softball - Throwing - Correcting Imbalance,https://www.youtube.com/watch?v=wAo2z0pyPtM,,,
V471,,P01,RMT® Club - Baseball - Hitting - Correcting Drift,https://www.youtube.com/watch?v=F_9YlU3AhZE,,,
V470,,P01,RMT® Club - Baseball - Throwing - Pitchers Roll n Drivers,https://www.youtube.com/watch?v=uLhsPhtb0TI,,,
V469,,P01,RMT® Club - Baseball - Hitting - Barrel Speed,https://www.youtube.com/watch?v=sbPtuavvyFQ,,,
V468,,P01,RMT® Club - Baseball - Hitting - Dry Swings,https://www.youtube.com/watch?v=E6Hm2mwldd0,,,
V467,,P01,RMT® Club - Baseball - Hitting - Hitters Royal Coil,https://www.youtube.com/watch?v=wwRYh183ggI,,,
V466,,P01,RMT® Club - Workout - 40 min - Circuit,https://www.youtube.com/watch?v=i9Bj69eI11E,,,
V465,,P03,Cardio - Super Set - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=-hNKqj5HZE4,,,
V464,,P03,Agility - Super Set - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=K0ne1jgMdP8,,,
V463,,P01,RMT® Club - Workout - 30 min - Circuit 1,https://www.youtube.com/watch?v=itVksTmkyQQ,,,
V462,,P01,RMT® Club - Workout - 30 min - Circuit 2,https://www.youtube.com/watch?v=WHEGZHdjLCQ,,,
V461,,P01,RMT® Club - Workout - 40-60min - Sister Sets,https://www.youtube.com/watch?v=Gk2ES5JT7Gg,,,
V460,,P01,RMT® Club - Super Set - Squat Focus,https://www.youtube.com/watch?v=WBc_ml9bIGA,,,
V459,,P06,Warm & Prep - Resistance Bands - Split Stance Prime,https://www.youtube.com/watch?v=T1zQHZlR8fc,,,
V458,,P05,SoleSteps® - Q & A - Will SoleStep Strengthen My Feet?,https://www.youtube.com/watch?v=XGKNqqiR5oI,,,
V457,,P05,SoleSteps® - What Size Foot can the SoleSteps® Accomodate?,https://www.youtube.com/watch?v=BtQsheY4Ks4,,,
V456,,P05,SoleSteps® - Q & A - Do they Cause Inversion?,https://www.youtube.com/watch?v=bfIB1sf0ooU,,,
V455,,P05,SoleSteps® - Q & A - What's Behind the Design of the Steps?,https://www.youtube.com/watch?v=B8yoHuEuKgk,,,
V454,,P05,SoleSteps® - Q & A - Care,https://www.youtube.com/watch?v=sE7JF4XXL8g,,,
V453,,P05,SoleSteps® - Q & A - Can I Wear Shoes?,https://www.youtube.com/watch?v=eelbuNmRfos,,,
V452,,P05,SoleSteps® - Q & A - Basic Use and Duration,https://www.youtube.com/watch?v=2BX73ZaDEzQ,,,
V451,,P01,RMT Club® - Super Set - Pulling Focus,https://www.youtube.com/watch?v=v7RY4UqATFc,,,
V450,,P05,Back Pain Relief - SoleSteps® - Hip Hinge,https://www.youtube.com/watch?v=45_TjJPyljI,,hip,
V449,,P05,Workout - Kettlebell Ladder Down - SoleSteps®,https://www.youtube.com/watch?v=bizNByjKoQU,,,
V448,,P01,RMT Club for Baseball - Wrist Rolls,https://www.youtube.com/watch?v=Na8zAuevPjk,,,
V447,,P01,RMT Club for Baseball - Check Swings,https://www.youtube.com/watch?v=QAhR9dMlkE4,,,
V446,,P01,RMT Club Baseball Training - Helicopter Halos,https://www.youtube.com/watch?v=LlXOvqCKy9g,,,
V445,,P01,RMT Club Baseball Training - The Scoop,https://www.youtube.com/watch?v=gVYM9vm86e0,,,
V444,,P01,RMT Club Exercise for Tennis - Forehand Swing,https://www.youtube.com/watch?v=wAWEe7TH3e0,,,
V443,,P01,RMT® Club - Golf - Half Kneeling Dynamic Rotation,https://www.youtube.com/watch?v=AAKY-I0Tj-w,,,
V442,,P01,RMT Club Training: Improving Athletic Strength & Balance,https://www.youtube.com/watch?v=Rxs5c3Aaruo,,,
V441,,P01,RMT Club Interval Training: Bailer - Check Swing - Athletic Shuffle,https://www.youtube.com/watch?v=MigYqOc9T1g,,,
V440,,P01,RMT Club Interval Training: 4 Different Exercises,https://www.youtube.com/watch?v=LY10emJ1SFY,,,
V439,,P01,RMT Club Training Techinque: Palming,https://www.youtube.com/watch?v=OBLUlaZ8YX0,,,
V438,,P01,RMT Club Training: 180 Searchlight,https://www.youtube.com/watch?v=UWjaxIc_t48,,,
V437,,P01,RMT Club Limited Space Workout,https://www.youtube.com/watch?v=HYlASFAXaIs,,,
V436,,P01,RMT Club - Halo Roll with Sudden Deceleration,https://www.youtube.com/watch?v=mA2tc7VVnmQ,,,
V435,,P01,RMT Club - Myofascial Release and Warmup,https://www.youtube.com/watch?v=93pvvhv-QGA,,,
V434,,P01,RMT Club Core Strengthening Exercise,https://www.youtube.com/watch?v=kZPHAXkRk5c,,,
V433,,P01,RMT Club Exercise to Strengthening Your Grip,https://www.youtube.com/watch?v=Hkxrb5sfmhs,,,
V432,,P01,RMT Club - Combination Exercise,https://www.youtube.com/watch?v=syKiKw0l4LY,,,
V431,,P01,RMT Club Halo Roll with Sudden Deceleration,https://www.youtube.com/watch?v=FhSUNPTsPjU,,,
V430,,P01,RMT Club Training Tip - The Bailer with Intent,https://www.youtube.com/watch?v=JATt_5NfhGM,,,
V429,,P01,RMT Club Training Exercise: The Tilt & Turn,https://www.youtube.com/watch?v=4Ht4V0aww5o,,,
V428,,P01,RMT Club Exercise to Improve Athletic Balance,https://www.youtube.com/watch?v=S5b1_LIqHPM,,,
V427,,P01,RMT Club - Balance Exercise,https://www.youtube.com/watch?v=X4lupFBWDxs,,,
V426,,P01,RMT Club Training: Figure 8 - Nail Driver - Pendulum Lunge - X Light,https://www.youtube.com/watch?v=Gj7YxED-D0s,,,
V425,,P01,RMT Club Exercise: Shoulder Rehabilitation,https://www.youtube.com/watch?v=eyGCh1PpEhI,,,
V424,,P01,RMT Club Exercise: The Samurai Squat,https://www.youtube.com/watch?v=--t1S2qVKms,,,
V423,,P01,RMT Club Training Exercise: Traveling Lunge with Rotation,https://www.youtube.com/watch?v=U_u8HUQr0_k,,,
V422,,P01,RMT Club Exercise: Single Arm Swing with Chambering,https://www.youtube.com/watch?v=oMbsTuT5BKY,,,
V421,,P01,RMT Club Training Tip - What Is Chambering?,https://www.youtube.com/watch?v=AKWeEM57tfA,,,
V420,,P01,RMT Club Interval Training: Drill Drivers - Swing & Switch - Searchlight Switch,https://www.youtube.com/watch?v=iVhZpVdNtWg,,,
V419,,P01,RMT Club Exercise: Hockey Player Swings with Sudden Deceleration,https://www.youtube.com/watch?v=5VsUuqQ_sCE,,,
V418,,P01,RMT Club Training Technique: Deceleration,https://www.youtube.com/watch?v=q8CMBI3-5E0,,,
V417,,P01,RMT Club Training Tip: How & Why to Use a Split Grip,https://www.youtube.com/watch?v=U0fA-UjC2pc,,,
V416,,P03,Addressing Over stride - Running - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=L7ylp4whorA,,,
